ID,Name,PSM,NearestRoad,LandAppraisal,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,GroupDistrict,TotalUnits,BuiltYear,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
1,KnightsBridge SkyCity Sapanmai,96729.25,Vibhavadi Rangsit Road,216666.6667,0.41,1.5,3.5,0.4,0.3,Anusawari,Bang Khen,North Bangkok,490,2017,7,0,1,1,0,0,0,0,0
2,Wynn Condo Phaholyothin 52,69287.50,Phahonyothin Road,330000,0.49,0.5,2.9,0.8,0.9,Khlong Thanon,Sai Mai,North Bangkok,275,2018,6,0,1,1,1,1,1,0,0
3,Kensington Phaholyothin 63,78162.33,Phahonyothin Road,330000,0.3,1.3,3.8,0.6,0.8,Anusawari,Bang Khen,North Bangkok,231,2018,6,0,1,1,1,0,0,0,0
4,Episode Phaholyothin-Sapanmai,81112.60,Chang Akat Uthit Road,31500,0.4,1,3.2,0.2,0.1,Anusawari,Bang Khen,North Bangkok,465,2017,7,1,1,1,0,0,0,0,0
5,The Next Garden Suites,71154.00,Pridi Banomyong Road,240000,0.3,3.2,16.4,0.2,2.2,Phra Khanong,Khlong Toei,South Bangkok,136,2009,15,0,1,1,0,1,1,0,0
6,Regent Orchid Sukhumvit 101,76786.00,Udom Suk Road (Sukhumvit 103),185000,0.2,2.1,15,2,3.19,Bang Chak,Phra Khanong,South Bangkok,580,2013,11,0,1,1,0,1,1,1,0
7,Quintara Arte Sukhumvit 52,129216.00,Pridi Banomyong Road,240000,0.4,3.2,16.4,0.3,2.2,Bang Chak,Phra Khanong,South Bangkok,154,2021,3,0,1,1,1,0,1,0,0
8,Tree Condo LUXE Sukhumvit 52,91228.00,Pridi Banomyong Road,240000,0.3,3.1,16.2,0.3,2.3,Bang Chak,Phra Khanong,South Bangkok,93,2012,12,0,1,1,1,1,1,0,0
9,Bangkok Feliz @Bangkhae Station,96318.00,Kanlapaphruek Road,65000,0.6,4.5,14.6,0.8,1.6,Bang Khae,Bang Khae,South Krungthon,79,2017,7,0,1,1,0,1,1,0,0
10,Origin Plug & Play Ramkhamhaeng Triple Station,85106.00,Hua Mak Road,85000,0.6,0.7,13.5,0.8,1.7,Hua Mak,Bang Kapi,Eastern Bangkok,482,2023,1,0,1,1,0,0,0,0,0
11,The One Plus D Hua-mark 12,63636.00,Hua Mak Road,85000,0.8,2,14,1.4,0.5,Hua Mak,Bang Kapi,Eastern Bangkok,242,2017,7,0,1,1,0,0,1,1,0
12,The Niche ID Ladprao 130,52222.00,Hua Mak Road,85000,0.4,1.2,15.8,1.2,0.7,Khlong Chan,Bang Kapi,Eastern Bangkok,370,2012,12,0,1,1,0,1,1,0,0
13,Aspire Ladprao 113,56737.50,Hua Mak Road,85000,0.2,1.1,14.9,0.5,0.3,Khlong Chan,Bang Kapi,Eastern Bangkok,270,2017,7,1,1,1,0,1,1,0,0
14,Living Place Ladprao 138,35427.00,Nak Niwat Road,80000,0.2,1.1,15,0.5,0.3,Khlong Chan,Bang Kapi,Eastern Bangkok,192,1998,26,0,1,0,0,0,1,0,0
15,The Base Garden Rama 9,99201.63,Rama 9 Road,188333.3333,0.7,1.6,16.8,2.8,0.3,Hua Mak,Bang Kapi,Eastern Bangkok,639,2019,5,1,1,1,0,0,1,0,0
16,Chewathai Ramkamhaeng,68881.67,Hua Mak Road,85000,0.9,1.9,15,0.9,0.3,Hua Mak,Bang Kapi,Eastern Bangkok,535,2013,11,1,1,1,0,1,1,0,0
17,The Base Rama 9-Ramkhamhaeng,78793.29,Rama 9 Road,188333.3333,0.8,1.4,16.9,2.9,0.5,Hua Mak,Bang Kapi,Eastern Bangkok,923,2012,12,0,1,1,0,1,1,1,0
18,The Muve Ram 22,74583.00,Hua Mak Road,85000,0.9,0.4,16.3,1.41,1.3,Hua Mak,Bang Kapi,Eastern Bangkok,254,2023,1,0,1,1,0,0,1,0,0
19,The Fourwings Residence,73871.00,Hua Mak Road,85000,0.7,1.9,13.2,1.4,1.2,Hua Mak,Bang Kapi,Eastern Bangkok,470,2008,16,0,1,1,0,1,1,0,0
20,624 Condolette Ladprao,45361.00,Hua Mak Road,85000,0.6,1.2,13.8,1.2,0.6,Khlong Chan,Bang Kapi,Eastern Bangkok,471,2010,14,1,1,1,0,1,1,0,0
21,The Niche Citi Ladprao 130,40562.00,Hua Mak Road,85000,0.6,0.9,15.4,0.9,0.2,Khlong Chan,Bang Kapi,Eastern Bangkok,751,2010,14,1,1,0,0,0,1,0,0
22,Lumpini Center Ladprao 111,40860.67,Lat Phrao Road,233333.3,0.4,0.9,15.2,0.7,0.1,Khlong Chan,Bang Kapi,Eastern Bangkok,856,2003,21,0,1,0,0,0,1,0,0
23,IDEO New Rama 9,100683.29,Rama 9 Road,188333.3333,1,1.4,16.8,3,0.6,Hua Mak,Bang Kapi,Eastern Bangkok,996,2018,6,1,1,1,0,1,1,0,0
24,Bangkok Horizon Ramkhamhaeng,46550.25,Hua Mak Road,85000,0.3,1,13.6,0.8,1.4,Hua Mak,Bang Kapi,Eastern Bangkok,592,2009,15,0,1,1,0,0,0,0,0
25,Lumpini Center Nawamin,52679.33,Nawamin Road,110000,0.89,0.5,15.3,1.3,1.1,Khlong Chan,Bang Kapi,Eastern Bangkok,470,2006,18,1,1,0,0,0,1,0,0
26,Living Nest Ramkhamhaeng,58345.00,Hua Mak Road,85000,0.6,1.6,14.4,0.3,0.5,Hua Mak,Bang Kapi,Eastern Bangkok,546,2015,9,0,1,1,0,0,1,0,0
27,U Delight @ Huamak Station,83634.00,Hua Mak Road,85000,0.8,1.8,13.9,1.6,0.3,Hua Mak,Bang Kapi,Eastern Bangkok,867,2015,9,0,1,1,0,1,1,1,0
28,Dcondo Ramkhamhaeng 64,47981.00,Ramkhamhaeng Road,124000,0.9,0.6,13.3,1.1,1.9,Hua Mak,Bang Kapi,Eastern Bangkok,486,2012,12,0,1,1,0,1,1,0,0
29,Lumpini Center Happyland,23191.00,Hua Mak Road,85000,0.9,0.4,15.3,1.1,0.7,Khlong Chan,Bang Kapi,Eastern Bangkok,1765,2002,22,0,1,0,0,0,1,0,0
30,Condo U @ Huamak Station,48387.00,Hua Mak Road,85000,0.9,1.6,14,1.5,0.4,Hua Mak,Bang Kapi,Eastern Bangkok,408,2012,12,0,1,1,0,1,1,0,0
31,City Villa,35030.00,Lat Phrao Road,233333.3,0.5,1.5,16,1.5,0.9,Khlong Chan,Bang Kapi,Eastern Bangkok,1748,1997,27,0,1,0,0,1,1,0,0
32,Metris Rama 9-Ramkhamheang,120167.00,Rama 9 Road,188333.3333,0.9,1.4,16.8,3,0.5,Hua Mak,Bang Kapi,Eastern Bangkok,570,2020,4,0,1,1,1,1,1,0,0
33,Supalai City Resort Ramkhamhaeng,60310.00,Rama 9 Road,188333.3333,0.9,0.7,16.5,1.41,1,Hua Mak,Bang Kapi,Eastern Bangkok,540,2013,11,0,1,1,0,1,1,0,0
34,Dcondo Ramkhamhaeng 9,60566.50,Rama 9 Road,188333.3333,1.1,1.2,16.8,1.41,0.7,Hua Mak,Bang Kapi,Eastern Bangkok,1114,2012,12,0,1,1,0,1,1,0,0
35,KnightsBridge Collage Ramkhamhaeng,113759.00,Hua Mak Road,85000,0.6,1.7,14.3,0.4,0.4,Hua Mak,Bang Kapi,Eastern Bangkok,682,2020,4,1,1,1,0,0,0,0,0
36,Supalai Veranda Ramkhamhaeng,93687.75,Hua Mak Road,85000,0.9,1.3,15.3,1.5,0.9,Hua Mak,Bang Kapi,Eastern Bangkok,2073,2022,2,0,1,1,0,0,1,0,0
37,The Tree Hua Mak,92500.00,Hua Mak Road,85000,0.4,1.5,14.2,0.4,0.6,Hua Mak,Bang Kapi,Eastern Bangkok,590,2020,4,0,1,1,0,1,1,0,0
38,Fak Khao Pode,37196.00,Lat Phrao Road,233333.3,0.9,2.1,14.1,1,0.6,Hua Mak,Bang Kapi,Eastern Bangkok,960,2004,20,0,1,0,0,0,1,0,0
39,Plum Condo Ladprao 101,45652.00,Pradit Manutham Road,130000,0.89,1.6,14.7,1.8,1.3,Khlong Chan,Bang Kapi,Eastern Bangkok,712,2014,10,0,1,0,0,1,1,0,0
40,The Remarkable Soonvijai 2,93000.00,Lat Phrao Road,233333.3,3.29,2.3,18.8,1.7,1,Bang Kapi,Huai Khwang,Central Bangkok,87,2017,7,0,1,1,0,1,1,0,0
41,Kalm Penthouse,110955.00,Bangkok Nonthaburi Road,240000,1.7,2.71,17.35,2.34,1.09,Phaya Thai,Phaya Thai,Central Bangkok,16,2019,5,0,1,1,0,0,1,0,0
42,Lloyd Soonvijai-Thonglor,131111.00,Thonglor Road (Sukhumvit 55),370000,2,1.8,19.2,1.1,0.7,Bang Kapi,Huai Khwang,Central Bangkok,123,2021,3,0,1,1,0,1,1,0,0
43,Niche Mono Ramkhamhaeng,84848.00,Hua Mak Road,85000,0.9,2,14.6,0.6,0.1,Hua Mak,Bang Kapi,Eastern Bangkok,1698,2022,2,0,1,1,0,0,0,0,0
44,Plum Condo Ram 60 Interchange,60462.33,Hua Mak Road,85000,0.4,1.1,13.5,0.9,1.4,Hua Mak,Bang Kapi,Eastern Bangkok,960,2018,6,0,1,0,0,0,1,0,0
45,Monte Rama 9-Ramkhamhang,79964.00,Rama 9 Road,188333.3333,0.9,0.8,16.3,3,0.9,Hua Mak,Bang Kapi,Eastern Bangkok,536,2021,3,0,1,1,0,0,0,0,0
46,Lumpini Ville Ramkhamhaeng 44,60542.50,Hua Mak Road,85000,0.5,1.6,14.2,0.4,0.5,Hua Mak,Bang Kapi,Eastern Bangkok,827,2013,11,1,1,1,0,1,1,0,0
47,The Parkland Petchkasem,77333.33,Somdet Phra Chao Tak Sin Road,145000,0.1,4.9,14.6,0.4,1.2,Bang Khae,Bang Khae,South Krungthon,895,2015,9,1,1,1,0,1,1,0,0
48,Bangkhae Condo Residence,14803.00,Kanlapaphruek Road,65000,0.69,3.64,14.6,0.89,1.43,Bang Khae,Bang Khae,South Krungthon,286,1998,26,0,1,0,0,0,1,0,0
49,Lumpini Condo Town Bangkhae,43791.50,Kanlapaphruek Road,65000,0.5,3.8,14.6,0.6,1.3,Bang Khae,Bang Khae,South Krungthon,791,2010,14,0,1,1,0,0,0,1,0
50,Plum Condo Bangkae,51739.00,Bang Waek Road,53000,1.4,4.4,14.6,1.3,0.2,Bang Khae,Bang Khae,South Krungthon,284,2013,11,0,1,1,0,1,1,0,0
51,Lumpini Park Phetkasem 98,58548.80,Bang Waek Road,53000,0.69,2.9,14.6,0.3,1.7,Bang Khae,Bang Khae,South Krungthon,2706,2013,11,0,1,1,1,0,0,1,0
52,Lumpini Ville Bangkae,70264.00,Kanlapaphruek Road,65000,0.2,3.7,14.6,0.3,1.2,Bang Khae,Bang Khae,South Krungthon,267,2010,14,1,1,1,0,1,1,0,0
53,Niche ID Phetkasem-Bangkae,52992.00,Kanlapaphruek Road,65000,0.8,3.8,14.6,0.9,1.3,Bang Khae,Bang Khae,South Krungthon,420,2019,5,0,1,1,0,1,1,0,0
54,J Condo Sathorn-Kallaprapruk,56100.00,Wutthakat Road,80000,0.69,3.64,14.6,1.3,1.43,Bang Khae,Bang Khae,South Krungthon,1039,2017,7,0,1,1,0,1,1,0,0
55,The President Petchkasem-Bangkhae,80566.00,Bang Waek Road,53000,0.5,3.64,14.6,0.1,1,Bang Khae,Bang Khae,South Krungthon,645,2018,6,1,1,1,0,1,1,1,0
56,Fuse Sense Bangkae,53226.00,Bang Waek Road,53000,1.4,4.4,14.6,1.3,0.2,Bang Khae,Bang Khae,South Krungthon,811,2014,10,1,1,1,0,1,1,1,0
57,H2 Ramindra 21,65497.50,Ram Inthra Road,135625,0.7,2.3,5.9,0.9,2.7,Anusawari,Bang Khen,North Bangkok,73,2014,10,0,1,1,0,1,1,0,0
58,Lumpini Condo Town Ramintra-Laksi,60922.25,Chaeng Watthana Road,150000,0.2,0.4,5.1,0.2,1.49,Anusawari,Bang Khen,North Bangkok,1568,2008,16,1,1,1,0,0,1,0,0
59,Lumpini Place Ramindra - Laksi,82286.00,Vibhavadi Rangsit Road,216666.6667,0.1,0.4,5.3,0.2,2,Anusawari,Bang Khen,North Bangkok,516,2010,14,0,1,1,1,0,1,1,0
60,SILK PLACE Phaholyothin Laksi,60606.00,Vibhavadi Rangsit Road,216666.6667,0.4,0.6,4.5,0.2,1.5,Anusawari,Bang Khen,North Bangkok,274,2014,10,1,1,1,0,1,1,0,0
61,Modiz Station Phahonyothin-Ramindra,87083.00,Vibhavadi Rangsit Road,216666.6667,0.1,0.9,4.1,0.2,1.1,Anusawari,Bang Khen,North Bangkok,246,2018,6,0,1,1,1,0,1,0,0
62,Condo U Kaset-Nawamin,70263.00,Sena Nikhom 1 Road,80000,0.41,2,7.6,2,1.49,Anusawari,Bang Khen,North Bangkok,444,2017,7,1,1,1,0,0,1,0,0
63,Dcondo Ramindra,56118.50,Ram Inthra Road,135625,0.5,4.5,8.2,0.5,4.3,Tha Raeng,Bang Khen,North Bangkok,825,2012,12,0,1,1,0,1,1,1,0
64,Premio Fresco,77866.00,Sukonthasawat Road,72500,0.2,2.1,6.4,0.4,1.49,Anusawari,Bang Khen,North Bangkok,266,2016,8,0,1,1,0,1,1,0,0
65,Lumpini Condo Town Ramindra-Latplakhao,53387.75,Sena Nikhom 1 Road,80000,0.5,1.9,6.3,0.6,3,Anusawari,Bang Khen,North Bangkok,1035,2014,10,0,1,1,0,0,1,1,0
66,Baan Suan Rachathani Condominium,15152.00,Vibhavadi Rangsit Road,216666.6667,0.41,1.36,4.85,0.66,1.49,Anusawari,Bang Khen,North Bangkok,1380,2012,12,0,0,1,0,1,1,1,0
67,Regent Home 18 Changwattana-Laksi,60000.00,Vibhavadi Rangsit Road,216666.6667,0.3,0.7,4.6,0.6,1.8,Anusawari,Bang Khen,North Bangkok,1490,2015,9,0,1,1,0,0,1,1,0
